cod_ibge,nome,variavel,populacao_estimada,integrado_snt,p_value,tau
3524402,Jacareí,Óbitos totais,249968,Sim,0.5221472904531,-0.042506451028973914
3524501,Jaci,Óbitos totais,7878,Não,0.4765825746198064,0.052814656792933116
3524600,Jacupiranga,Óbitos totais,16254,Sim,0.6166772121111981,0.03645005039148257
3524709,Jaguariúna,Óbitos totais,61801,Sim,0.04971365432040735,0.13717099950959963
3524808,Jales,Óbitos totais,50017,Sim,0.06357252935887163,-0.1325027955122985
3524907,Jambeiro,Óbitos totais,6575,Não,0.010338136847149248,0.19082753061033675
3525003,Jandira,Óbitos totais,121988,Sim,0.34624849540566893,0.0689397275253665
3525102,Jardinópolis,Óbitos totais,46868,Sim,0.022126064381206078,-0.16259205915017927
3525201,Jarinu,Óbitos totais,39531,Sim,0.33035082855323034,0.06913961486649944
3525300,Jaú,Óbitos totais,137323,Sim,0.28735398161491554,-0.07145381933991884
3525409,Jeriquara,Óbitos totais,3976,Não,0.8930709104264193,-0.010366887980843245
3525508,Joanópolis,Óbitos totais,13095,Não,0.8151690667197962,0.017646102922918985
3525607,João Ramalho,Óbitos totais,4456,Não,0.5784349062027015,-0.04156808825238362
3525706,José Bonifácio,Óbitos totais,37859,Sim,0.8598397772710396,-0.012474944113930067
3525805,Júlio Mesquita,Óbitos totais,4308,Não,0.1555200597114841,-0.1059929607395047
3525854,Jumirim,Óbitos totais,3123,Não,0.13104261447847756,0.11197565184867349
3525904,Jundiaí,Óbitos totais,460313,Sim,0.2482412835063543,-0.07400734914044689
3526001,Junqueirópolis,Óbitos totais,20878,Sim,0.06998296277478513,0.1343426764677081
3526100,Juquiá,Óbitos totais,17255,Sim,0.38482260898791937,-0.06325715615701001
3526209,Juquitiba,Óbitos totais,28007,Sim,0.06550973046047592,-0.12852749245769873
3526308,Lagoinha,Óbitos totais,5182,Não,0.7689581750643596,-0.022177383148647426
3526407,Laranjal Paulista,Óbitos totais,27009,Sim,0.004340072405829842,0.20614142705070887
3526506,Lavínia,Óbitos totais,9909,Não,0.3527167534131192,-0.0695728814070095
3526605,Lavrinhas,Óbitos totais,7328,Não,0.34346699917102175,-0.0703370939943433
3526704,Leme,Óbitos totais,101316,Sim,0.25135620353240895,-0.07974376003541903
3526803,Lençóis Paulista,Óbitos totais,68395,Sim,0.38531100892273096,0.061659389850845334
3526902,Limeira,Óbitos totais,300728,Sim,0.7725203199451732,-0.018941193889762183
3527009,Lindóia,Óbitos totais,7147,Sim,0.24270294621646007,-0.08677420739151806
3527108,Lins,Óbitos totais,76729,Sim,0.9277239529427969,-0.006520343784966297
3527207,Lorena,Óbitos totais,87370,Sim,0.05367864917860576,-0.13288134988693162
3527256,Lourdes,Óbitos totais,1968,Não,0.1251915153918926,-0.1153390075428567
3527306,Louveira,Óbitos totais,54111,Sim,0.3980367024364047,0.06099368682468293
3527405,Lucélia,Óbitos totais,20372,Sim,0.5108703846650455,-0.04812157465372458
3527504,Lucianópolis,Óbitos totais,2419,Não,0.16780165338519398,-0.10324134052199836
3527603,Luís Antônio,Óbitos totais,12531,Sim,0.37519855039114197,0.06587063658999577
3527702,Luiziânia,Óbitos totais,4751,Não,0.8013527307155042,0.019287409388910416
